mcf-141,laurent      ,123,LAURENT      ,,ANDRE       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,11/12/1958,62173,99100,France,Bordeaux,33044,rue du vergne
mcf-142,laisne       ,123,LAISNE       ,,ROLAND      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,04/03/1959,59350,99100,France,Bordeaux,33044,rue du vergne
mcf-143,bourgois     ,123,BOURGOIS     ,,LUCIEN      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,17/06/1959,88160,99100,France,Bordeaux,33044,rue du vergne
mcf-144,depret       ,123,DEPRET       ,,EMILE       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,06/10/1959,62065,99100,France,Bordeaux,33044,rue du vergne
mcf-145,lefer        ,123,LEFER        ,,ROGER       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,11/12/1959,59178,99100,France,Bordeaux,33044,rue du vergne
mcf-146,lecocq       ,123,LECOCQ       ,,CHRISTIAN   ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,14/05/1960,62498,99100,France,Bordeaux,33044,rue du vergne
mcf-147,guide        ,123,GUIDE        ,,PASCAL      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,26/06/1960,62498,99100,France,Bordeaux,33044,rue du vergne
mcf-148,embareck     ,123,EMBARECK     ,,CHRISTIAN   ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,15/04/1961,62356,99100,France,Bordeaux,33044,rue du vergne
mcf-149,lelievre     ,123,LELIEVRE     ,,ALAIN       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,29/06/1961,62498,99100,France,Bordeaux,33044,rue du vergne
mcf-150,oleszak      ,123,OLESZAK      ,,PHILIPPE    ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,26/11/1961,62427,99100,France,Bordeaux,33044,rue du vergne
mcf-151,descamps     ,123,DESCAMPS     ,,PHILIPPE    ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,07/02/1962,62667,99100,France,Bordeaux,33044,rue du vergne
mcf-152,goulliart    ,123,GOULLIART    ,,YVES        ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,02/11/1962,62498,99100,France,Bordeaux,33044,rue du vergne
mcf-153,grenez       ,123,GRENEZ       ,,PATRICK     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,22/02/1963,13056,99100,France,Bordeaux,33044,rue du vergne
