1,TestMESFC01,123,CENTUN,,CVCINQUANTECINQ,male,testmesfc01@yopmail.com,123456789,1941-02-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
2,TestMESFC02,123,baverans,,cvcentun,male,testmesfc02@yopmail.com,123456789,1970-04-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
3,TestMESFC03,123,lérenne,,énora,female,testmesfc03@yopmail.com,123456789,2004-09-06,29170,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
4,TestMESFC04,123,LAC-DES-ROUGES-TRUITES,,CVSOIXANTDIXNEUF,male,testmesfc04@yopmail.com,123456789,1996-09-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
5,TestMESFC05,123,CHAP'ELLE,,DAMIEN,male,testmesfc05@yopmail.com,123456789,2002-02-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
6,TestMESFC06,123,VILLETTE LES ARBOIS,,CVQUATREVINGTDIXSEPT,female,testmesfc06@yopmail.com,123456789,1976-01-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
7,TestMESFC07,123,DE CENTUNE,DE CENTUN,CVQUATRE,female,testmesfc07@yopmail.com,123456789,1990-06-10,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
8,TestMESFC08,123,QUINTIGNY,,CVQUATREVINGTHUIT,male,testmesfc08@yopmail.com,123456789,1987-01-01,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
9,TestMESFC09,123,NANCE,,CVQUATREVINGDEUX,male,testmesfc09@yopmail.com,123456789,1990-09-02,39370,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
10,TestMESFC13,123,JEURRE,,CVCENTTROIS,female,testmesfc13@yopmail.com,123456789,1970-04-01,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
11,TestMESFC14,123,DARBONNAY,,CVCENTVINGTQUAT,male,testmesfc14@yopmail.com,123456789,1972-09-01,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
12,TestMESFC15,123,CENTVINGT,,CVDOUZE,male,testmesfc15@yopmail.com,123456789,1980-12-01,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
13,TestMESFC16,123,CENTVINGT,,CVDIXSEPT,male,testmesfc16@yopmail.com,123456789,1973-01-05,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
14,TestMESFC17,123,CENTVINGT,,CVDIXNEUF,male,testmesfc17@yopmail.com,123456789,1970-12-01,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
15,TestMESFC18,123,CENT UN,,CVONZE,male,testmesfc18@yopmail.com,123456789,1983-06-01,39320,99100,France,LONS-LE-SAUNIER,39000,8 RUE DES LILAS
