mcf-207,gosselin     ,123,GOSSELIN     ,,FABIEN      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,28/11/1972,62261,99100,France,Bordeaux,33044,rue du vergne
mcf-208,clercin      ,123,CLERCIN      ,,DAVID       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,26/12/1972,62193,99100,France,Bordeaux,33044,rue du vergne
mcf-209,accou        ,123,ACCOU        ,,MIKAEL      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,31/01/1973,62186,99100,France,Bordeaux,33044,rue du vergne
mcf-210,duhem        ,123,DUHEM        ,,STEPHANE    ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,20/06/1973,59051,99100,France,Bordeaux,33044,rue du vergne
mcf-211,delattre     ,123,DELATTRE     ,,YANNICK     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,15/10/1973,62193,99100,France,Bordeaux,33044,rue du vergne
mcf-212,bruteyn      ,123,BRUTEYN      ,,MICHAEL     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,17/12/1974,62427,99100,France,Bordeaux,33044,rue du vergne
mcf-213,oubella      ,123,OUBELLA      ,,RACHID      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,14/02/1980,59153,99100,France,Bordeaux,33044,rue du vergne
mcf-214,opala        ,123,OPALA        ,,THIERRY     ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,05/04/1984,62261,99100,France,Bordeaux,33044,rue du vergne
mcf-215,olivier      ,123,OLIVIER      ,,JAMES       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,10/10/1991,62148,99100,France,Bordeaux,33044,rue du vergne
mcf-216,ortolano     ,123,ORTOLANO     ,,GIANNI      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,19/04/1993,62119,99100,France,Bordeaux,33044,rue du vergne
mcf-217,ocre         ,123,OCRE         ,,JORDAN      ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,10/12/1993,62498,99100,France,Bordeaux,33044,rue du vergne
mcf-218,occre        ,123,OCCRE        ,,BRYAN       ,male  ,BAL-CPF-PREX@caissedesdepots.fr,,23/12/1996,62148,99100,France,Bordeaux,33044,rue du vergne
mcf-219,ovion        ,123,OVION        ,,CHRISTINE   ,female,BAL-CPF-PREX@caissedesdepots.fr,,22/06/1960,62563,99100,France,Bordeaux,33044,rue du vergne
mcf-220,obert        ,123,OBERT        ,,CAROLE      ,female,BAL-CPF-PREX@caissedesdepots.fr,,01/08/1965,62215,99100,France,Bordeaux,33044,rue du vergne
mcf-221,okolski      ,123,OKOLSKI      ,,CHRISTELLE  ,female,BAL-CPF-PREX@caissedesdepots.fr,,06/06/1966,59560,99100,France,Bordeaux,33044,rue du vergne
mcf-222,odekerken    ,123,ODEKERKEN    ,,MANUELLA    ,female,BAL-CPF-PREX@caissedesdepots.fr,,04/11/1969,62178,99100,France,Bordeaux,33044,rue du vergne
mcf-223,offre        ,123,OFFRE        ,,CATHERINE   ,female,BAL-CPF-PREX@caissedesdepots.fr,,13/02/1971,62065,99100,France,Bordeaux,33044,rue du vergne
mcf-224,thelier      ,123,THELIER      ,,CHANTAL     ,female,BAL-CPF-PREX@caissedesdepots.fr,,17/05/1968,59350,99100,France,Bordeaux,33044,rue du vergne
mcf-225,monnier      ,123,MONNIER      ,,CHRYSTELLE  ,female,BAL-CPF-PREX@caissedesdepots.fr,,15/09/1968,59512,99100,France,Bordeaux,33044,rue du vergne
mcf-226,pierret      ,123,PIERRET      ,,CAROLINE    ,female,BAL-CPF-PREX@caissedesdepots.fr,,29/07/1969,59152,99100,France,Bordeaux,33044,rue du vergne
mcf-227,bouchetila   ,123,BOUCHETILA   ,,NASSERA     ,female,BAL-CPF-PREX@caissedesdepots.fr,,28/05/1970,59512,99100,France,Bordeaux,33044,rue du vergne
mcf-228,segard       ,123,SEGARD       ,,EMILIE      ,female,BAL-CPF-PREX@caissedesdepots.fr,,20/09/1970,59350,99100,France,Bordeaux,33044,rue du vergne
mcf-229,blin         ,123,BLIN         ,,NATHALIE    ,female,BAL-CPF-PREX@caissedesdepots.fr,,20/02/1971,59163,99100,France,Bordeaux,33044,rue du vergne
mcf-230,oosthuyse    ,123,OOSTHUYSE    ,,EVELYNE     ,female,BAL-CPF-PREX@caissedesdepots.fr,,11/04/1971,59599,99100,France,Bordeaux,33044,rue du vergne
mcf-231,pollet       ,123,POLLET       ,,FLORENCE    ,female,BAL-CPF-PREX@caissedesdepots.fr,,02/08/1973,59512,99100,France,Bordeaux,33044,rue du vergne
mcf-232,lemahieu     ,123,LEMAHIEU     ,,MARIE-NOELLE,female,BAL-CPF-PREX@caissedesdepots.fr,,16/06/1974,59599,99100,France,Bordeaux,33044,rue du vergne
mcf-233,vercamer     ,123,VERCAMER     ,,AUDREY      ,female,BAL-CPF-PREX@caissedesdepots.fr,,30/11/1974,59152,99100,France,Bordeaux,33044,rue du vergne
mcf-234,gruson       ,123,GRUSON       ,,STEPHANIE   ,female,BAL-CPF-PREX@caissedesdepots.fr,,06/12/1974,59152,99100,France,Bordeaux,33044,rue du vergne
mcf-235,delourme     ,123,DELOURME     ,,CELINE      ,female,BAL-CPF-PREX@caissedesdepots.fr,,19/05/1975,59512,99100,France,Bordeaux,33044,rue du vergne
mcf-236,ouici        ,123,OUICI        ,,NORA        ,female,BAL-CPF-PREX@caissedesdepots.fr,,08/05/1975,91521,99100,France,Bordeaux,33044,rue du vergne
